Ticker,Date,Open,High,Low,Close,Volume,Dividend,Split
WHR,01/08/2008,76.68,77.71,74.54,74.65,1772100.0,0.0,1.0
WHR,01/09/2008,73.72,74.1,72.27,73.92,1830400.0,0.0,1.0
WHR,01/10/2008,73.49,75.74,72.1,74.85,1411300.0,0.0,1.0
WHR,01/11/2008,73.54,74.3,72.69,73.54,1548400.0,0.0,1.0
WHR,01/14/2008,73.98,74.49,72.1,72.75,2168700.0,0.0,1.0
WHR,01/15/2008,72.1,72.1,70.3,70.87,1723800.0,0.0,1.0
WHR,01/16/2008,69.62,70.75,67.19,70.4,3000900.0,0.0,1.0
WHR,01/17/2008,70.36,71.34,69.31,69.8,2243000.0,0.0,1.0
WHR,01/18/2008,70.14,72.01,69.95,71.53,2004900.0,0.0,1.0
WHR,01/22/2008,69.25,75.43,68.35,74.49,2653000.0,0.0,1.0
WHR,01/23/2008,72.16,81.06,71.99,81.01,3725000.0,0.0,1.0
WHR,01/24/2008,80.5,81.51,77.8,78.89,1827500.0,0.0,1.0
WHR,01/25/2008,79.81,83.17,77.53,77.78,1338400.0,0.0,1.0
WHR,01/28/2008,77.68,79.99,76.56,79.99,1653600.0,0.0,1.0
WHR,01/29/2008,80.79,82.71,78.93,82.49,1416400.0,0.0,1.0
WHR,01/30/2008,82.43,84.45,81.75,82.25,1614200.0,0.0,1.0
WHR,01/31/2008,81.51,86.2,80.6,85.29,2602400.0,0.0,1.0
WHR,02/01/2008,85.15,86.0,83.26,85.72,2116800.0,0.0,1.0
WHR,02/04/2008,86.3,86.41,81.0,81.59,2002600.0,0.0,1.0
WHR,02/05/2008,84.56,94.19,84.55,90.0,10350100.0,0.0,1.0
WHR,02/06/2008,90.4,98.0,89.31,90.49,6830400.0,0.0,1.0
WHR,02/07/2008,89.81,92.64,88.37,91.39,2594800.0,0.0,1.0
WHR,02/08/2008,91.07,91.28,88.43,89.03,1383300.0,0.0,1.0
WHR,02/11/2008,87.98,89.31,86.01,89.18,2017500.0,0.0,1.0
WHR,02/12/2008,89.91,92.81,89.18,91.34,1917400.0,0.0,1.0
WHR,02/13/2008,92.22,92.98,90.64,91.68,1019800.0,0.0,1.0
WHR,02/14/2008,91.64,92.28,89.37,89.58,1120300.0,0.0,1.0
WHR,02/15/2008,89.55,90.27,87.89,88.49,1273000.0,0.0,1.0
WHR,02/19/2008,89.34,90.73,88.05,88.49,1251500.0,0.0,1.0
